Type,Exchange ID,Exchange Name,Site ID,Site Domain,App/Bundle ID,Notes
Site Domain,0,All,,*.thisIsAPrettyLongDomain10000.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10001.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10002.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10003.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10004.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10005.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10006.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10007.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10008.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10009.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain1000.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10010.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10011.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10012.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10013.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10014.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10015.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10016.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10017.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10018.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10019.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain1001.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10020.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10021.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10022.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10023.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10024.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10025.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10026.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10027.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10028.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10029.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain1002.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10030.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10031.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10032.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10033.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10034.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10035.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10036.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10037.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10038.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10039.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain1003.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10040.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10041.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10042.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10043.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10044.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10045.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10046.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10047.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10048.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10049.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain1004.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10050.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10051.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10052.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10053.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10054.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10055.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10056.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10057.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10058.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10059.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain1005.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10060.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10061.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10062.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10063.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10064.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10065.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10066.com,,
Site Domain,0,All,,*.thisIsAPrettyLongDomain10067.com,,
